dummy index,Johnson Controls Name,BACnet Name,BACnet Description,BACnet Unit,Ground Truth Point Type,Point Ref,Location,Equipment Type,Equipment Ref,Equipment Subsystems,Building,Comments,BACnet Type Str
1479,EBU3B.RM-2232..DMPR-POS,NAE 06 N2 1 VMA114 DMPR POS,Damper Position,98,Damper Position,,Rm_2232,Damper,114,VAV -> Rm_2232 -> Damper,EBU3B,,Analog Input
1496,EBU3B.RM-2234..DMPR-POS,NAE 06 N2 1 VMA115 DMPR POS,Damper Position,98,Damper Position,,Rm_2234,Damper,115,VAV -> Rm_2234 -> Damper,EBU3B,,Analog Input
1514,EBU3B.RM-2236..DMPR-POS,NAE 06 N2 1 VMA116 DMPR POS,Damper Position,98,Damper Position,,Rm_2236,Damper,116,VAV -> Rm_2236 -> Damper,EBU3B,,Analog Input
1531,EBU3B.RM-2238..DMPR-POS,NAE 06 N2 1 VMA117 DMPR POS,Damper Position,98,Damper Position,,Rm_2238,Damper,117,VAV -> Rm_2238 -> Damper,EBU3B,,Analog Input
1548,EBU3B.RM-2240..DMPR-POS,NAE 06 N2 1 VMA105 DMPR POS,Damper Position,98,Damper Position,,Rm_2240,Damper,105,VAV -> Rm_2240 -> Damper,EBU3B,,Analog Input
1564,EBU3B.RM-2244..DMPR-POS,NAE 06 N2 1 VMA119 DMPR POS,Damper Position,98,Damper Position,,Rm_2244,Damper,119,VAV -> Rm_2244 -> Damper,EBU3B,,Analog Input
1580,EBU3B.RM-2250..DMPR-POS,NAE 06 N2 1 VMA121 DMPR POS,Damper Position,98,Damper Position,,Rm_2250,Damper,121,VAV -> Rm_2250 -> Damper,EBU3B,,Analog Input
1596,EBU3B.RM-2256..DMPR-POS,NAE 06 N2 1 VMA122 DMPR POS,Damper Position,98,Damper Position,,Rm_2256,Damper,122,VAV -> Rm_2256 -> Damper,EBU3B,,Analog Input
1628,EBU3B.RM-2262..DMPR-POS,NAE 06 N2 1 VMA124 DMPR POS,Damper Position,98,Damper Position,,Rm_2262,Damper,124,VAV -> Rm_2262 -> Damper,EBU3B,,Analog Input
1644,EBU3B.RM-2266..DMPR-POS,NAE 06 N2 1 VMA125 DMPR POS,Damper Position,98,Damper Position,,Rm_2266,Damper,125,VAV -> Rm_2266 -> Damper,EBU3B,,Analog Input
1660,EBU3B.RM-2270..DMPR-POS,NAE 06 N2 1 VMA126 DMPR POS,Damper Position,98,Damper Position,,Rm_2270,Damper,126,VAV -> Rm_2270 -> Damper,EBU3B,,Analog Input
1676,EBU3B.RM-2272..DMPR-POS,NAE 06 N2 1 VMA127 DMPR POS,Damper Position,98,Damper Position,,Rm_2272,Damper,127,VAV -> Rm_2272 -> Damper,EBU3B,,Analog Input
1700,EBU3B.RM-3102..DMPR-POS,NAE 06 N2 2 VMA117 DMPR POS,Damper Position,98,Damper Position,,Rm_3102,Damper,117,VAV -> Rm_3102 -> Damper,EBU3B,,Analog Input
1716,EBU3B.RM-3105..DMPR-POS,NAE 06 N2 2 VMA119 DMPR POS,Damper Position,98,Damper Position,,Rm_3105,Damper,119,VAV -> Rm_3105 -> Damper,EBU3B,,Analog Input
1732,EBU3B.RM-3106..DMPR-POS,NAE 06 N2 2 VMA116 DMPR POS,Damper Position,98,Damper Position,,Rm_3106,Damper,116,VAV -> Rm_3106 -> Damper,EBU3B,,Analog Input
1748,EBU3B.RM-3107..DMPR-POS,NAE 06 N2 2 VMA118 DMPR POS,Damper Position,98,Damper Position,,Rm_3107,Damper,118,VAV -> Rm_3107 -> Damper,EBU3B,,Analog Input
1764,EBU3B.RM-3109..DMPR-POS,NAE 06 N2 2 VMA128 DMPR POS,Damper Position,98,Damper Position,,Rm_3109,Damper,128,VAV -> Rm_3109 -> Damper,EBU3B,,Analog Input
1780,EBU3B.RM-3110..DMPR-POS,NAE 06 N2 2 VMA115 DMPR POS,Damper Position,98,Damper Position,,Rm_3110,Damper,115,VAV -> Rm_3110 -> Damper,EBU3B,,Analog Input
1796,EBU3B.RM-3111..DMPR-POS,NAE 06 N2 2 VMA113 DMPR POS,Damper Position,98,Damper Position,,Rm_3111,Damper,113,VAV -> Rm_3111 -> Damper,EBU3B,,Analog Input
1812,EBU3B.RM-3114..DMPR-POS,NAE 06 N2 2 VMA114 DMPR POS,Damper Position,98,Damper Position,,Rm_3114,Damper,114,VAV -> Rm_3114 -> Damper,EBU3B,,Analog Input
1828,EBU3B.RM-3118..DMPR-POS,NAE 06 N2 2 VMA112 DMPR POS,Damper Position,98,Damper Position,,Rm_3118,Damper,112,VAV -> Rm_3118 -> Damper,EBU3B,,Analog Input
1844,EBU3B.RM-3119..DMPR-POS,NAE 06 N2 2 VMA102 DMPR POS,Damper Position,98,Damper Position,,Rm_3119,Damper,102,VAV -> Rm_3119 -> Damper,EBU3B,,Analog Input
1861,EBU3B.RM-3121..DMPR-POS,NAE 06 N2 2 VMA127 DMPR POS,Damper Position,98,Damper Position,,Rm_3121,Damper,127,VAV -> Rm_3121 -> Damper,EBU3B,,Analog Input
1877,EBU3B.RM-3122..DMPR-POS,NAE 06 N2 2 VMA111 DMPR POS,Damper Position,98,Damper Position,,Rm_3122,Damper,111,VAV -> Rm_3122 -> Damper,EBU3B,,Analog Input
1893,EBU3B.RM-3126..DMPR-POS,NAE 06 N2 2 VMA110 DMPR POS,Damper Position,98,Damper Position,,Rm_3126,Damper,110,VAV -> Rm_3126 -> Damper,EBU3B,,Analog Input
1909,EBU3B.RM-3127..DMPR-POS,NAE 06 N2 2 VMA122 DMPR POS,Damper Position,98,Damper Position,,Rm_3127,Damper,122,VAV -> Rm_3127 -> Damper,EBU3B,,Analog Input
1926,EBU3B.RM-3128..DMPR-POS,NAE 06 N2 2 VMA109 DMPR POS,Damper Position,98,Damper Position,,Rm_3128,Damper,109,VAV -> Rm_3128 -> Damper,EBU3B,,Analog Input
1941,EBU3B.RM-3130..DMPR-POS,NAE 06 N2 2 VMA108 DMPR POS,Damper Position,98,Damper Position,,Rm_3130,Damper,108,VAV -> Rm_3130 -> Damper,EBU3B,,Analog Input
1957,EBU3B.RM-3132..DMPR-POS,NAE 06 N2 2 VMA107 DMPR POS,Damper Position,98,Damper Position,,Rm_3132,Damper,107,VAV -> Rm_3132 -> Damper,EBU3B,,Analog Input
1973,EBU3B.RM-3134..DMPR-POS,NAE 06 N2 2 VMA106 DMPR POS,Damper Position,98,Damper Position,,Rm_3134,Damper,106,VAV -> Rm_3134 -> Damper,EBU3B,,Analog Input
1989,EBU3B.RM-3136..DMPR-POS,NAE 06 N2 2 VMA105 DMPR POS,Damper Position,98,Damper Position,,Rm_3136,Damper,105,VAV -> Rm_3136 -> Damper,EBU3B,,Analog Input
2005,EBU3B.RM-3138..DMPR-POS,NAE 06 N2 2 VMA104 DMPR POS,Damper Position,98,Damper Position,,Rm_3138,Damper,104,VAV -> Rm_3138 -> Damper,EBU3B,,Analog Input
2021,EBU3B.RM-3140..DMPR-POS,NAE 06 N2 2 VMA 101 DMPR POS,Damper Position,98,Damper Position,,Rm_3140,Damper,101,VAV -> Rm_3140 -> Damper,EBU3B,,Analog Input
2038,EBU3B.RM-3142..DMPR-POS,NAE 06 N2 2 VMA126 DMPR POS,Damper Position,98,Damper Position,,Rm_3142,Damper,126,VAV -> Rm_3142 -> Damper,EBU3B,,Analog Input
2055,EBU3B.RM-3144..DMPR-POS,NAE 06 N2 2 VMA125 DMPR POS,Damper Position,98,Damper Position,,Rm_3144,Damper,125,VAV -> Rm_3144 -> Damper,EBU3B,,Analog Input
2072,EBU3B.RM-3146..DMPR-POS,NAE 06 N2 2 VMA124 DMPR POS,Damper Position,98,Damper Position,,Rm_3146,Damper,124,VAV -> Rm_3146 -> Damper,EBU3B,,Analog Input
2089,EBU3B.RM-3148..DMPR-POS,NAE 06 N2 2 VMA123 DMPR POS,Damper Position,98,Damper Position,,Rm_3148,Damper,123,VAV -> Rm_3148 -> Damper,EBU3B,,Analog Input
2106,EBU3B.RM-3150..DMPR-POS,NAE 06 N2 2 VMA121 DMPR POS,Damper Position,98,Damper Position,,Rm_3150,Damper,121,VAV -> Rm_3150 -> Damper,EBU3B,,Analog Input
2123,EBU3B.RM-3152..DMPR-POS,NAE 06 N2 2 VMA120 DMPR POS,Damper Position,98,Damper Position,,Rm_3152,Damper,120,VAV -> Rm_3152 -> Damper,EBU3B,,Analog Input
2140,EBU3B.RM-3154..DMPR-POS,NAE 06 N2 2 VMA103 DMPR POS,Damper Position,98,Damper Position,,Rm_3154,Damper,103,VAV -> Rm_3154 -> Damper,EBU3B,,Analog Input
2158,EBU3B.RM-3200A..DMPR-POS,NAE 06 N2 1 VMA158 DMPR POS,Damper Position,98,Damper Position,,Rm_3200A,Damper,158,VAV -> Rm_3200A -> Damper,EBU3B,,Analog Input
2174,EBU3B.RM-3200B..DMPR-POS,NAE 06 N2 1 VMA183 DMPR POS,Damper Position,98,Damper Position,,Rm_3200B,Damper,183,VAV -> Rm_3200B -> Damper,EBU3B,,Analog Input
2190,EBU3B.RM-3202..DMPR-POS,NAE 06 N2 1 VMA160 DMPR POS,Damper Position,98,Damper Position,,Rm_3202,Damper,160,VAV -> Rm_3202 -> Damper,EBU3B,,Analog Input
2206,EBU3B.RM-3203..DMPR-POS,NAE 06 N2 1 VMA181 DMPR POS,Damper Position,98,Damper Position,,Rm_3203,Damper,181,VAV -> Rm_3203 -> Damper,EBU3B,,Analog Input
2222,EBU3B.RM-3205..DMPR-POS,NAE 06 N2 1 VMA159 DMPR POS,Damper Position,98,Damper Position,,Rm_3205,Damper,159,VAV -> Rm_3205 -> Damper,EBU3B,,Analog Input
2237,EBU3B.RM-3207..DMPR-POS,NAE 06 N2 1 VMA162 DMPR POS,Damper Position,98,Damper Position,,Rm_3207,Damper,162,VAV -> Rm_3207 -> Damper,EBU3B,,Analog Input
2250,EBU3B.RM-3208..DMPR-POS,NAE 06 N2 1 VMA163 DMPR POS,Damper Position,98,Damper Position,,Rm_3208,Damper,163,VAV -> Rm_3208 -> Damper,EBU3B,,Analog Input
2266,EBU3B.RM-3213..DMPR-POS,NAE 06 N2 1 VMA157 DMPR POS,Damper Position,98,Damper Position,,Rm_3213,Damper,157,VAV -> Rm_3213 -> Damper,EBU3B,,Analog Input
2283,EBU3B.RM-3214..DMPR-POS,NAE 06 N2 1 VMA164 DMPR POS,Damper Position,98,Damper Position,,Rm_3214,Damper,164,VAV -> Rm_3214 -> Damper,EBU3B,,Analog Input
2299,EBU3B.RM-3215..DMPR-POS,NAE 06 N2 1 VMA182 DMPR POS,Damper Position,98,Damper Position,,Rm_3215,Damper,182,VAV -> Rm_3215 -> Damper,EBU3B,,Analog Input
2315,EBU3B.RM-3217..DMPR-POS,NAE 06 N2 1 VMA184 DMPR POS,Damper Position,98,Damper Position,,Rm_3217,Damper,184,VAV -> Rm_3217 -> Damper,EBU3B,,Analog Input
2333,EBU3B.RM-3220..DMPR-POS,NAE 06 N2 1 VMA166 DMPR POS,Damper Position,98,Damper Position,,Rm_3220,Damper,166,VAV -> Rm_3220 -> Damper,EBU3B,,Analog Input
2349,EBU3B.RM-3221..DMPR-POS,NAE 06 N2 1 VMA165 DMPR POS,Damper Position,98,Damper Position,,Rm_3221,Damper,165,VAV -> Rm_3221 -> Damper,EBU3B,,Analog Input
2364,EBU3B.RM-3223..DMPRPOS,NAE 06 N2 1 VMA161 DMPRPOS,Damper Position,98,Damper Position,,Rm_3223,Damper,161,VAV -> Rm_3223 -> Damper,EBU3B,,Analog Input
2379,EBU3B.RM-3226..DMPR-POS,NAE 06 N2 1 VMA167 DMPR POS,Damper Position,98,Damper Position,,Rm_3226,Damper,167,VAV -> Rm_3226 -> Damper,EBU3B,,Analog Input
2395,EBU3B.RM-3230..DMPR-POS,NAE 06 N2 1 VMA168 DMPR POS,Damper Position,98,Damper Position,,Rm_3230,Damper,168,VAV -> Rm_3230 -> Damper,EBU3B,,Analog Input
2412,EBU3B.RM-3232..DMPR-POS,NAE 06 N2 1 VMA169 DMPR POS,Damper Position,98,Damper Position,,Rm_3232,Damper,169,VAV -> Rm_3232 -> Damper,EBU3B,,Analog Input
2429,EBU3B.RM-3236..DMPR-POS,NAE 06 N2 1 VMA170 DMPR POS,Damper Position,98,Damper Position,,Rm_3236,Damper,170,VAV -> Rm_3236 -> Damper,EBU3B,,Analog Input
2445,EBU3B.RM-3240..DMPR-POS,NAE 06 N2 1 VMA171 DMPR POS,Damper Position,98,Damper Position,,Rm_3240,Damper,171,VAV -> Rm_3240 -> Damper,EBU3B,,Analog Input
2462,EBU3B.RM-3242..DMPR-POS,NAE 06 N2 1 VMA172 DMPR POS,Damper Position,98,Damper Position,,Rm_3242,Damper,172,VAV -> Rm_3242 -> Damper,EBU3B,,Analog Input
2479,EBU3B.RM-3246..DMPR-POS,NAE 06 N2 1 VMA173 DMPR POS,Damper Position,98,Damper Position,,Rm_3246,Damper,173,VAV -> Rm_3246 -> Damper,EBU3B,,Analog Input
2495,EBU3B.RM-3250..DMPR-POS,NAE 06 N2 1 VMA174 DMPR POS,Damper Position,98,Damper Position,,Rm_3250,Damper,174,VAV -> Rm_3250 -> Damper,EBU3B,,Analog Input
2512,EBU3B.RM-3252..DMPR-POS,NAE 06 N2 1 VMA175 DMPR POS,Damper Position,98,Damper Position,,Rm_3252,Damper,175,VAV -> Rm_3252 -> Damper,EBU3B,,Analog Input
2529,EBU3B.RM-3254..DMPR-POS,NAE 06 N2 1 VMA176 DMPR POS,Damper Position,98,Damper Position,,Rm_3254,Damper,176,VAV -> Rm_3254 -> Damper,EBU3B,,Analog Input
2546,EBU3B.RM-3256..DMPR-POS,NAE 06 N2 1 VMA177 DMPR POS,Damper Position,98,Damper Position,,Rm_3256,Damper,177,VAV -> Rm_3256 -> Damper,EBU3B,,Analog Input
2563,EBU3B.RM-3258..DMPR-POS,NAE 06 N2 1 VMA178 DMPR POS,Damper Position,98,Damper Position,,Rm_3258,Damper,178,VAV -> Rm_3258 -> Damper,EBU3B,,Analog Input
2580,EBU3B.RM-3260..DMPR-POS,NAE 06 N2 1 VMA179 DMPR POS,Damper Position,98,Damper Position,,Rm_3260,Damper,179,VAV -> Rm_3260 -> Damper,EBU3B,,Analog Input
2597,EBU3B.RM-3262..DMPR-POS,NAE 06 N2 1 VMA180 DMPR POS,Damper Position,98,Damper Position,,Rm_3262,Damper,180,VAV -> Rm_3262 -> Damper,EBU3B,,Analog Input
2621,EBU3B.RM-4102..DMPR-POS,NAE 06 N2 2 VMA171 DMPR POS,Damper Position,98,Damper Position,,Rm_4102,Damper,171,VAV -> Rm_4102 -> Damper,EBU3B,,Analog Input
2637,EBU3B.RM-4105..DMPR-POS,NAE 06 N2 2 VMA173 DMPR POS,Damper Position,98,Damper Position,,Rm_4105,Damper,173,VAV -> Rm_4105 -> Damper,EBU3B,,Analog Input
2655,EBU3B.RM-4106..DMPR-POS,NAE 06 N2 2 VMA170 DMPR POS,Damper Position,98,Damper Position,,Rm_4106,Damper,170,VAV -> Rm_4106 -> Damper,EBU3B,,Analog Input
2671,EBU3B.RM-4107..DMPR-POS,NAE 06 N2 2 VMA172 DMPR POS,Damper Position,98,Damper Position,,Rm_4107,Damper,172,VAV -> Rm_4107 -> Damper,EBU3B,,Analog Input
2687,EBU3B.RM-4109..DMPR-POS,NAE 06 N2 2 VMA183 DMPR POS,Damper Position,98,Damper Position,,Rm_4109,Damper,183,VAV -> Rm_4109 -> Damper,EBU3B,,Analog Input
2703,EBU3B.RM-4110..DMPR-POS,NAE 06 N2 2 VMA169 DMPR POS,Damper Position,98,Damper Position,,Rm_4110,Damper,169,VAV -> Rm_4110 -> Damper,EBU3B,,Analog Input
2719,EBU3B.RM-4111..DMPR-POS,NAE 06 N2 2 VMA167 DMPR POS,Damper Position,98,Damper Position,,Rm_4111,Damper,167,VAV -> Rm_4111 -> Damper,EBU3B,,Analog Input
2735,EBU3B.RM-4114..DMPR-POS,NAE 06 N2 2 VMA168 DMPR POS,Damper Position,98,Damper Position,,Rm_4114,Damper,168,VAV -> Rm_4114 -> Damper,EBU3B,,Analog Input
2751,EBU3B.RM-4118..DMPR-POS,NAE 06 N2 2 VMA166 DMPR POS,Damper Position,98,Damper Position,,Rm_4118,Damper,166,VAV -> Rm_4118 -> Damper,EBU3B,,Analog Input
2767,EBU3B.RM-4119..DMPR-POS,NAE 06 N2 2 VMA131 DMPR POS,Damper Position,98,Damper Position,,Rm_4119,Damper,131,VAV -> Rm_4119 -> Damper,EBU3B,,Analog Input
2784,EBU3B.RM-4121..DMPR-POS,NAE 06 N2 2 VMA182 DMPR POS,Damper Position,98,Damper Position,,Rm_4121,Damper,182,VAV -> Rm_4121 -> Damper,EBU3B,,Analog Input
2802,EBU3B.RM-4122..DMPR-POS,NAE 06 N2 2 VMA165 DMPR POS,Damper Position,98,Damper Position,,Rm_4122,Damper,165,VAV -> Rm_4122 -> Damper,EBU3B,,Analog Input
2818,EBU3B.RM-4126..DMPR-POS,NAE 06 N2 2 VMA164 DMPR POS,Damper Position,98,Damper Position,,Rm_4126,Damper,164,VAV -> Rm_4126 -> Damper,EBU3B,,Analog Input
2833,EBU3B.RM-4127..DMPR-POS,NAE 06 N2 2 VMA177 DMPR POS,Damper Position,98,Damper Position,,Rm_4127,Damper,177,VAV -> Rm_4127 -> Damper,EBU3B,,Analog Input
2846,EBU3B.RM-4128..DMPR-POS,NAE 06 N2 2 VMA181 DMPR POS,Damper Position,98,Damper Position,,Rm_4128,Damper,181,VAV -> Rm_4128 -> Damper,EBU3B,,Analog Input
2862,EBU3B.RM-4130..DMPR-POS,NAE 06 N2 2 VMA163 DMPR POS,Damper Position,98,Damper Position,,Rm_4130,Damper,163,VAV -> Rm_4130 -> Damper,EBU3B,,Analog Input
2878,EBU3B.RM-4132..DMPR-POS,NAE 06 N2 2 VMA162 DMPR POS,Damper Position,98,Damper Position,,Rm_4132,Damper,162,VAV -> Rm_4132 -> Damper,EBU3B,,Analog Input
2894,EBU3B.RM-4134..DMPR-POS,NAE 06 N2 2 VMA161 DMPR POS,Damper Position,98,Damper Position,,Rm_4134,Damper,161,VAV -> Rm_4134 -> Damper,EBU3B,,Analog Input
2910,EBU3B.RM-4136..DMPR-POS,NAE 06 N2 2 VMA160 DMPR POS,Damper Position,98,Damper Position,,Rm_4136,Damper,160,VAV -> Rm_4136 -> Damper,EBU3B,,Analog Input
2926,EBU3B.RM-4138..DMPR-POS,NAE 06 N2 2 VMA159 DMPR POS,Damper Position,98,Damper Position,,Rm_4138,Damper,159,VAV -> Rm_4138 -> Damper,EBU3B,,Analog Input
2942,EBU3B.RM-4140..DMPR-POS,NAE 06 N2 2 VMA130 DMPR POS,Damper Position,98,Damper Position,,Rm_4140,Damper,130,VAV -> Rm_4140 -> Damper,EBU3B,,Analog Input
2959,EBU3B.RM-4142..DMPR-POS,NAE 06 N2 2 VMA180 DMPR POS,Damper Position,98,Damper Position,,Rm_4142,Damper,180,VAV -> Rm_4142 -> Damper,EBU3B,,Analog Input
2976,EBU3B.RM-4144..DMPR-POS,NAE 06 N2 2 VMA179 DMPR POS,Damper Position,98,Damper Position,,Rm_4144,Damper,179,VAV -> Rm_4144 -> Damper,EBU3B,,Analog Input
2994,EBU3B.RM-4146..DMPR-POS,NAE 06 N2 2 VMA178 DMPR POS,Damper Position,98,Damper Position,,Rm_4146,Damper,178,VAV -> Rm_4146 -> Damper,EBU3B,,Analog Input
3011,EBU3B.RM-4148..DMPR-POS,NAE 06 N2 2 VMA176 DMPR POS,Damper Position,98,Damper Position,,Rm_4148,Damper,176,VAV -> Rm_4148 -> Damper,EBU3B,,Analog Input
3028,EBU3B.RM-4150..DMPR-POS,NAE 06 N2 2 VMA175 DMPR POS,Damper Position,98,Damper Position,,Rm_4150,Damper,175,VAV -> Rm_4150 -> Damper,EBU3B,,Analog Input
3045,EBU3B.RM-4152..DMPR-POS,NAE 06 N2 2 VMA174 DMPR POS,Damper Position,98,Damper Position,,Rm_4152,Damper,174,VAV -> Rm_4152 -> Damper,EBU3B,,Analog Input
3063,EBU3B.RM-4154.DMPR-POS,NAE 06 N2 2 VMA132 DMPR POS,Damper Position,98,Damper Position,,Rm_4154,Damper,132,VAV -> Rm_4154 -> Damper,EBU3B,,Analog Input
3081,EBU3B.RM-4200A..DMPR-POS,NAE 06 N2 2 VMA133 DMPR POS,Damper Position,98,Damper Position,,Rm_4200A,Damper,133,VAV -> Rm_4200A -> Damper,EBU3B,,Analog Input
3097,EBU3B.RM-4202..DMPR-POS,NAE 06 N2 2 VMA135 DMPR POS,Damper Position,98,Damper Position,,Rm_4202,Damper,135,VAV -> Rm_4202 -> Damper,EBU3B,,Analog Input
3113,EBU3B.RM-4203..DMPR-POS,NAE 06 N2 2 VMA155 DMPR POS,Damper Position,98,Damper Position,,Rm_4203,Damper,155,VAV -> Rm_4203 -> Damper,EBU3B,,Analog Input
3129,EBU3B.RM-4205..DMPR-POS,NAE 06 N2 2 VMA134 DMPR POS,Damper Position,98,Damper Position,,Rm_4205,Damper,134,VAV -> Rm_4205 -> Damper,EBU3B,,Analog Input
3144,EBU3B.RM-4207..DMPR-POS,NAE 06 N2 2 VMA149 DMPR POS,Damper Position,98,Damper Position,,Rm_4207,Damper,149,VAV -> Rm_4207 -> Damper,EBU3B,,Analog Input
3157,EBU3B.RM-4208..DMPR-POS,NAE 06 N2 2 VMA136 DMPR POS,Damper Position,98,Damper Position,,Rm_4208,Damper,136,VAV -> Rm_4208 -> Damper,EBU3B,,Analog Input
3173,EBU3B.RM-4213..DMPR-POS,NAE 06 N2 2 VMA129 DMPR POS,Damper Position,98,Damper Position,,Rm_4213,Damper,129,VAV -> Rm_4213 -> Damper,EBU3B,,Analog Input
3190,EBU3B.RM-4214..DMPR-POS,NAE 06 N2 2 VMA137 DMPR POS,Damper Position,98,Damper Position,,Rm_4214,Damper,137,VAV -> Rm_4214 -> Damper,EBU3B,,Analog Input
3206,EBU3B.RM-4215..DMPR-POS,NAE 06 N2 2 VMA156 DMPR POS,Damper Position,98,Damper Position,,Rm_4215,Damper,156,VAV -> Rm_4215 -> Damper,EBU3B,,Analog Input
3224,EBU3B.RM-4217..DMPR-POS,NAE 06 N2 2 VMA158 DMPR POS,Damper Position,98,Damper Position,,Rm_4217,Damper,158,VAV -> Rm_4217 -> Damper,EBU3B,,Analog Input
3240,EBU3B.RM-4219..DMPR-POS,NAE 06 N2 2 VMA144 DMPR POS,Damper Position,98,Damper Position,,Rm_4219,Damper,144,VAV -> Rm_4219 -> Damper,EBU3B,,Analog Input
3256,EBU3B.RM-4220..DMPR-POS,NAE 06 N2 2 VMA138 DMPR POS,Damper Position,98,Damper Position,,Rm_4220,Damper,138,VAV -> Rm_4220 -> Damper,EBU3B,,Analog Input
3271,EBU3B.RM-4223..DMPR-POS,NAE 06 N2 2 VMA157 DMPR POS,Damper Position,98,Damper Position,,Rm_4223,Damper,157,VAV -> Rm_4223 -> Damper,EBU3B,,Analog Input
3284,EBU3B.RM-4226..DMPR-POS,NAE 06 N2 2 VMA139 DMPR POS,Damper Position,98,Damper Position,,Rm_4226,Damper,139,VAV -> Rm_4226 -> Damper,EBU3B,,Analog Input
3300,EBU3B.RM-4230..DMPR-POS,NAE 06 N2 2 VMA140 DMPR POS,Damper Position,98,Damper Position,,Rm_4230,Damper,140,VAV -> Rm_4230 -> Damper,EBU3B,,Analog Input
3317,EBU3B.RM-4231..DMPR-POS,NAE 06 N2 2 VMA146 DMPR POS,Damper Position,98,Damper Position,,Rm_4231,Damper,146,VAV -> Rm_4231 -> Damper,EBU3B,,Analog Input
3333,EBU3B.RM-4232..DMPR-POS,NAE 06 N2 2 VMA141 DMPR POS,Damper Position,98,Damper Position,,Rm_4232,Damper,141,VAV -> Rm_4232 -> Damper,EBU3B,,Analog Input
3350,EBU3B.RM-4236..DMPR-POS,NAE 06 N2 2 VMA142 DMPR POS,Damper Position,98,Damper Position,,Rm_4236,Damper,142,VAV -> Rm_4236 -> Damper,EBU3B,,Analog Input
3366,EBU3B.RM-4240..DMPR-POS,NAE 06 N2 2 VMA143 DMPR POS,Damper Position,98,Damper Position,,Rm_4240,Damper,143,VAV -> Rm_4240 -> Damper,EBU3B,,Analog Input
3383,EBU3B.RM-4242..DMPR-POS,NAE 06 N2 2 VMA145 DMPR POS,Damper Position,98,Damper Position,,Rm_4242,Damper,145,VAV -> Rm_4242 -> Damper,EBU3B,,Analog Input
3400,EBU3B.RM-4246..DMPR-POS,NAE 06 N2 2 VMA147 DMPR POS,Damper Position,98,Damper Position,,Rm_4246,Damper,147,VAV -> Rm_4246 -> Damper,EBU3B,,Analog Input
3416,EBU3B.RM-4250..DMPR-POS,NAE 06 N2 2 VMA148 DMPR POS,Damper Position,98,Damper Position,,Rm_4250,Damper,148,VAV -> Rm_4250 -> Damper,EBU3B,,Analog Input
3433,EBU3B.RM-4252..DMPR-POS,NAE 06 N2 2 VMA150 DMPR POS,Damper Position,98,Damper Position,,Rm_4252,Damper,150,VAV -> Rm_4252 -> Damper,EBU3B,,Analog Input
3450,EBU3B.RM-4254..DMPR-POS,NAE 06 N2 2 VMA151 DMPR POS,Damper Position,98,Damper Position,,Rm_4254,Damper,151,VAV -> Rm_4254 -> Damper,EBU3B,,Analog Input
3467,EBU3B.RM-4256..DMPR-POS,NAE 06 N2 2 VMA152 DMPR POS,Damper Position,98,Damper Position,,Rm_4256,Damper,152,VAV -> Rm_4256 -> Damper,EBU3B,,Analog Input
3484,EBU3B.RM-4258..DMPR-POS,NAE 06 N2 2 VMA153 DMPR POS,Damper Position,98,Damper Position,,Rm_4258,Damper,153,VAV -> Rm_4258 -> Damper,EBU3B,,Analog Input
3501,EBU3B.RM-4262..DMPR-POS,NAE 06 N2 2 VMA154 DMPR POS,Damper Position,98,Damper Position,,Rm_4262,Damper,154,VAV -> Rm_4262 -> Damper,EBU3B,,Analog Input
3881,EBU3B.RM-B103..DMPR-POS,NAE 05 N2 1 VMA 113 DMPR POS,Damper Position,98,Damper Position,,Rm_B103,Damper,113,VAV -> Rm_B103 -> Damper,EBU3B,,Analog Input
3893,EBU3B.RM-B103A..DMPR-POS,NAE 05 N2 1 VMA 114 DMPR POS,Damper Position,98,Damper Position,,Rm_B103A,Damper,114,VAV -> Rm_B103A -> Damper,EBU3B,,Analog Input
3908,EBU3B.RM-B109..DMPR-POS,NAE 05 N2 1 VMA 102 DMPR POS,Damper Position,98,Damper Position,,Rm_B109,Damper,102,VAV -> Rm_B109 -> Damper,EBU3B,,Analog Input
3924,EBU3B.RM-B200B..DMPR-POS,NAE 05 N2 1 VMA 111 DMPR POS,Damper Position,98,Damper Position,,Rm_B200B,Damper,111,VAV -> Rm_B200B -> Damper,EBU3B,,Analog Input
3940,EBU3B.RM-B200C..DMPR-POS,NAE 05 N2 1 VMA 112 DMPR POS,Damper Position,98,Damper Position,,Rm_B200C,Damper,112,VAV -> Rm_B200C -> Damper,EBU3B,,Analog Input
3957,EBU3B.RM-B210..DMPR-POS,NAE 05 N2 1 VMA 116 DMPR POS,Damper Position,98,Damper Position,,Rm_B210,Damper,116,VAV -> Rm_B210 -> Damper,EBU3B,,Analog Input
3977,EBU3B.RM-B215..DMPR-POS,NAE 05 N2 1 VMA 101 DMPR POS,Damper Position,98,Damper Position,,Rm_B215,Damper,101,VAV -> Rm_B215 -> Damper,EBU3B,,Analog Input
3996,EBU3B.RM-B220..DMPR-POS,NAE 05 N2 1 VMA 117 DMPR POS,Damper Position,98,Damper Position,,Rm_B220,Damper,117,VAV -> Rm_B220 -> Damper,EBU3B,,Analog Input
4013,EBU3B.RM-B222..DMPR-POS,NAE 05 N2 1 VMA 109 DMPR POS,Damper Position,98,Damper Position,,Rm_B222,Damper,109,VAV -> Rm_B222 -> Damper,EBU3B,,Analog Input
